,inaction,disengage,engage
0,0.0,0.0,1.0
1,0.0,0.0,2.0
2,0.0,0.0,3.0
3,0.0,0.0,4.0
4,0.0,0.0,5.0
5,0.0,0.0,6.0
6,0.0,0.0,7.0
7,0.0,0.0,8.0
8,0.0,0.0,9.0
9,0.0,0.0,10.0
10,0.0,0.0,11.0
11,0.0,0.0,12.0
12,0.0,1.0,12.0
13,0.0,2.0,12.0
14,0.0,3.0,12.0
15,0.0,4.0,12.0
16,0.0,5.0,12.0
17,0.0,6.0,12.0
18,1.0,6.0,12.0
19,2.0,6.0,12.0
20,3.0,6.0,12.0
21,3.0,6.0,13.0
22,3.0,6.0,14.0
23,3.0,6.0,15.0
24,4.0,6.0,15.0
25,5.0,6.0,15.0
26,6.0,6.0,15.0
27,6.0,7.0,15.0
28,6.0,8.0,15.0
29,6.0,9.0,15.0
30,6.0,9.0,16.0
31,6.0,9.0,17.0
32,6.0,9.0,18.0
33,6.0,9.0,19.0
34,6.0,9.0,20.0
35,6.0,9.0,21.0
36,7.0,9.0,21.0
37,8.0,9.0,21.0
38,9.0,9.0,21.0
39,9.0,10.0,21.0
40,9.0,11.0,21.0
41,9.0,12.0,21.0
42,10.0,12.0,21.0
43,11.0,12.0,21.0
44,12.0,12.0,21.0
45,12.0,13.0,21.0
46,12.0,14.0,21.0
47,12.0,15.0,21.0
48,12.0,15.0,22.0
49,12.0,15.0,23.0
50,12.0,15.0,24.0
51,12.0,16.0,24.0
52,12.0,17.0,24.0
53,12.0,18.0,24.0
54,12.0,19.0,24.0
55,12.0,20.0,24.0
56,12.0,21.0,24.0
57,12.0,22.0,24.0
58,12.0,23.0,24.0
59,12.0,24.0,24.0
60,12.0,24.0,25.0
61,12.0,24.0,26.0
62,12.0,24.0,27.0
63,12.0,24.0,28.0
64,12.0,24.0,29.0
65,12.0,24.0,30.0
66,13.0,24.0,30.0
67,14.0,24.0,30.0
68,15.0,24.0,30.0
69,15.0,25.0,30.0
70,15.0,26.0,30.0
71,15.0,27.0,30.0
72,16.0,27.0,30.0
73,17.0,27.0,30.0
74,18.0,27.0,30.0
75,18.0,28.0,30.0
76,18.0,29.0,30.0
77,18.0,30.0,30.0
78,18.0,30.0,31.0
79,18.0,30.0,32.0
80,18.0,30.0,33.0
81,18.0,30.0,34.0
82,18.0,30.0,35.0
83,18.0,30.0,36.0
84,18.0,30.0,37.0
85,18.0,30.0,38.0
86,18.0,30.0,39.0
87,18.0,30.0,40.0
88,18.0,30.0,41.0
89,18.0,30.0,42.0
90,18.0,31.0,42.0
91,18.0,32.0,42.0
92,18.0,33.0,42.0
93,19.0,33.0,42.0
94,20.0,33.0,42.0
95,21.0,33.0,42.0
96,22.0,33.0,42.0
97,23.0,33.0,42.0
98,24.0,33.0,42.0
99,24.0,34.0,42.0
100,24.0,35.0,42.0
101,24.0,36.0,42.0
102,25.0,36.0,42.0
103,26.0,36.0,42.0
104,27.0,36.0,42.0
105,28.0,36.0,42.0
106,29.0,36.0,42.0
107,30.0,36.0,42.0
108,30.0,37.0,42.0
109,30.0,38.0,42.0
110,30.0,39.0,42.0
