,inaction,disengange,engange
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,2.0,1.0,0.0
3,2.0,2.0,0.0
4,2.0,3.0,0.0
5,2.0,4.0,0.0
6,2.0,4.0,1.0
7,2.0,4.0,2.0
8,2.0,5.0,2.0
9,2.0,6.0,2.0
10,2.0,7.0,2.0
11,2.0,8.0,2.0
12,2.0,9.0,2.0
13,2.0,10.0,2.0
14,2.0,11.0,2.0
15,2.0,12.0,2.0
16,2.0,12.0,3.0
17,2.0,12.0,4.0
18,2.0,13.0,4.0
19,2.0,14.0,4.0
20,2.0,15.0,4.0
21,2.0,16.0,4.0
22,2.0,17.0,4.0
23,2.0,18.0,4.0
24,2.0,19.0,4.0
25,2.0,20.0,4.0
26,2.0,21.0,4.0
27,2.0,22.0,4.0
28,2.0,23.0,4.0
29,2.0,24.0,4.0
30,2.0,24.0,5.0
31,2.0,24.0,6.0
32,2.0,25.0,6.0
33,2.0,26.0,6.0
34,2.0,27.0,6.0
35,2.0,28.0,6.0
36,2.0,29.0,6.0
37,2.0,30.0,6.0
38,2.0,30.0,7.0
39,2.0,30.0,8.0
40,2.0,31.0,8.0
41,2.0,32.0,8.0
42,3.0,32.0,8.0
43,4.0,32.0,8.0
44,4.0,33.0,8.0
45,4.0,34.0,8.0
46,4.0,34.0,9.0
47,4.0,34.0,10.0
48,4.0,35.0,10.0
49,4.0,36.0,10.0
50,4.0,37.0,10.0
51,4.0,38.0,10.0
52,4.0,39.0,10.0
53,4.0,40.0,10.0
54,4.0,41.0,10.0
55,4.0,42.0,10.0
56,4.0,43.0,10.0
57,4.0,44.0,10.0
58,4.0,44.0,11.0
59,4.0,44.0,12.0
60,4.0,45.0,12.0
61,4.0,46.0,12.0
62,5.0,46.0,12.0
63,6.0,46.0,12.0
64,6.0,47.0,12.0
65,6.0,48.0,12.0
66,6.0,49.0,12.0
67,6.0,50.0,12.0
68,6.0,51.0,12.0
69,6.0,52.0,12.0
70,6.0,52.0,13.0
71,6.0,52.0,14.0
72,6.0,53.0,14.0
73,6.0,54.0,14.0
74,7.0,54.0,14.0
75,8.0,54.0,14.0
76,8.0,54.0,15.0
77,8.0,54.0,16.0
78,8.0,55.0,16.0
79,8.0,56.0,16.0
80,8.0,57.0,16.0
81,8.0,58.0,16.0
82,8.0,59.0,16.0
83,8.0,60.0,16.0
84,8.0,60.0,17.0
85,8.0,60.0,18.0
86,9.0,60.0,18.0
87,10.0,60.0,18.0
88,11.0,60.0,18.0
89,12.0,60.0,18.0
90,12.0,61.0,18.0
91,12.0,62.0,18.0
92,12.0,63.0,18.0
93,12.0,64.0,18.0
94,12.0,64.0,19.0
