,inaction,disengange,engange
227,14.0,128.0,86.0
228,14.0,129.0,86.0
229,14.0,130.0,86.0
230,14.0,131.0,86.0
231,14.0,132.0,86.0
232,14.0,133.0,86.0
233,14.0,134.0,86.0
234,14.0,135.0,86.0
235,14.0,136.0,86.0
236,14.0,137.0,86.0
237,14.0,138.0,86.0
238,15.0,138.0,86.0
239,16.0,138.0,86.0
240,16.0,139.0,86.0
241,16.0,140.0,86.0
242,16.0,141.0,86.0
243,16.0,142.0,86.0
244,16.0,142.0,87.0
245,16.0,142.0,88.0
246,16.0,143.0,88.0
247,16.0,144.0,88.0
248,17.0,144.0,88.0
249,18.0,144.0,88.0
250,18.0,144.0,89.0
251,18.0,144.0,90.0
252,18.0,145.0,90.0
253,18.0,146.0,90.0
254,18.0,146.0,91.0
255,18.0,146.0,92.0
256,18.0,147.0,92.0
257,18.0,148.0,92.0
258,18.0,149.0,92.0
259,18.0,150.0,92.0
260,18.0,150.0,93.0
261,18.0,150.0,94.0
262,18.0,151.0,94.0
263,18.0,152.0,94.0
264,18.0,153.0,94.0
265,18.0,154.0,94.0
266,18.0,154.0,95.0
267,18.0,154.0,96.0
268,18.0,155.0,96.0
269,18.0,156.0,96.0
270,18.0,157.0,96.0
271,18.0,158.0,96.0
272,18.0,158.0,97.0
273,18.0,158.0,98.0
274,18.0,158.0,99.0
275,18.0,158.0,100.0
276,18.0,159.0,100.0
277,18.0,160.0,100.0
278,18.0,160.0,101.0
279,18.0,160.0,102.0
280,18.0,161.0,102.0
281,18.0,162.0,102.0
282,18.0,162.0,103.0
283,18.0,162.0,104.0
284,18.0,162.0,105.0
285,18.0,162.0,106.0
286,18.0,163.0,106.0
287,18.0,164.0,106.0
288,18.0,165.0,106.0
289,18.0,166.0,106.0
290,18.0,167.0,106.0
291,18.0,168.0,106.0
292,18.0,169.0,106.0
293,18.0,170.0,106.0
294,18.0,170.0,107.0
295,18.0,170.0,108.0
296,18.0,171.0,108.0
297,18.0,172.0,108.0
298,18.0,173.0,108.0
299,18.0,174.0,108.0
300,18.0,175.0,108.0
301,18.0,176.0,108.0
302,18.0,177.0,108.0
303,18.0,178.0,108.0
304,18.0,179.0,108.0
305,18.0,180.0,108.0
306,18.0,180.0,109.0
307,18.0,180.0,110.0
308,18.0,181.0,110.0
309,18.0,182.0,110.0
310,18.0,183.0,110.0
311,18.0,184.0,110.0
312,18.0,185.0,110.0
313,18.0,186.0,110.0
314,19.0,186.0,110.0
315,20.0,186.0,110.0
316,20.0,186.0,111.0
317,20.0,186.0,112.0
318,20.0,186.0,113.0
319,20.0,186.0,114.0
320,20.0,186.0,115.0
321,20.0,186.0,116.0
322,20.0,187.0,116.0
323,20.0,188.0,116.0
324,20.0,189.0,116.0
325,20.0,190.0,116.0
326,21.0,190.0,116.0
327,22.0,190.0,116.0
328,22.0,191.0,116.0
329,22.0,192.0,116.0
330,22.0,192.0,117.0
331,22.0,192.0,118.0
332,22.0,192.0,119.0
333,22.0,192.0,120.0
334,22.0,192.0,121.0
335,22.0,192.0,122.0
336,22.0,193.0,122.0
337,22.0,194.0,122.0
338,22.0,195.0,122.0
339,22.0,196.0,122.0
340,22.0,197.0,122.0
341,22.0,198.0,122.0
342,22.0,199.0,122.0
343,22.0,200.0,122.0
344,22.0,201.0,122.0
345,22.0,202.0,122.0
346,22.0,203.0,122.0
