,inaction,disengange,engange
199,46.0,82.0,72.0
200,46.0,83.0,72.0
201,46.0,84.0,72.0
202,46.0,84.0,73.0
203,46.0,84.0,74.0
204,46.0,85.0,74.0
205,46.0,86.0,74.0
206,47.0,86.0,74.0
207,48.0,86.0,74.0
208,48.0,86.0,75.0
209,48.0,86.0,76.0
210,48.0,87.0,76.0
211,48.0,88.0,76.0
212,49.0,88.0,76.0
213,50.0,88.0,76.0
214,50.0,89.0,76.0
215,50.0,90.0,76.0
216,50.0,91.0,76.0
217,50.0,92.0,76.0
218,50.0,92.0,77.0
219,50.0,92.0,78.0
220,50.0,93.0,78.0
221,50.0,94.0,78.0
222,50.0,94.0,79.0
223,50.0,94.0,80.0
224,50.0,95.0,80.0
225,50.0,96.0,80.0
226,50.0,96.0,81.0
227,50.0,96.0,82.0
228,51.0,96.0,82.0
229,52.0,96.0,82.0
230,52.0,96.0,83.0
231,52.0,96.0,84.0
232,52.0,97.0,84.0
233,52.0,98.0,84.0
234,52.0,98.0,85.0
235,52.0,98.0,86.0
236,53.0,98.0,86.0
237,54.0,98.0,86.0
238,54.0,98.0,87.0
239,54.0,98.0,88.0
240,54.0,98.0,89.0
241,54.0,98.0,90.0
242,54.0,99.0,90.0
243,54.0,100.0,90.0
244,54.0,101.0,90.0
245,54.0,102.0,90.0
246,55.0,102.0,90.0
247,56.0,102.0,90.0
248,56.0,103.0,90.0
249,56.0,104.0,90.0
250,56.0,104.0,91.0
251,56.0,104.0,92.0
252,57.0,104.0,92.0
253,58.0,104.0,92.0
254,58.0,105.0,92.0
255,58.0,106.0,92.0
256,58.0,106.0,93.0
257,58.0,106.0,94.0
258,58.0,107.0,94.0
259,58.0,108.0,94.0
260,59.0,108.0,94.0
261,60.0,108.0,94.0
262,60.0,109.0,94.0
263,60.0,110.0,94.0
264,60.0,111.0,94.0
265,60.0,112.0,94.0
266,60.0,112.0,95.0
267,60.0,112.0,96.0
268,60.0,112.0,97.0
269,60.0,112.0,98.0
270,60.0,112.0,99.0
271,60.0,112.0,100.0
272,60.0,113.0,100.0
273,60.0,114.0,100.0
274,61.0,114.0,100.0
275,62.0,114.0,100.0
276,62.0,114.0,101.0
277,62.0,114.0,102.0
278,62.0,115.0,102.0
279,62.0,116.0,102.0
280,63.0,116.0,102.0
281,64.0,116.0,102.0
282,65.0,116.0,102.0
283,66.0,116.0,102.0
284,66.0,116.0,103.0
285,66.0,116.0,104.0
286,66.0,117.0,104.0
287,66.0,118.0,104.0
288,66.0,119.0,104.0
289,66.0,120.0,104.0
290,66.0,120.0,105.0
291,66.0,120.0,106.0
292,67.0,120.0,106.0
293,68.0,120.0,106.0
294,68.0,120.0,107.0
295,68.0,120.0,108.0
296,68.0,121.0,108.0
297,68.0,122.0,108.0
298,69.0,122.0,108.0
299,70.0,122.0,108.0
300,70.0,123.0,108.0
301,70.0,124.0,108.0
302,70.0,124.0,109.0
303,70.0,124.0,110.0
304,70.0,125.0,110.0
305,70.0,126.0,110.0
306,70.0,127.0,110.0
307,70.0,128.0,110.0
308,70.0,129.0,110.0
309,70.0,130.0,110.0
310,70.0,131.0,110.0
311,70.0,132.0,110.0
312,71.0,132.0,110.0
313,72.0,132.0,110.0
314,72.0,132.0,111.0
315,72.0,132.0,112.0
316,72.0,133.0,112.0
317,72.0,134.0,112.0
318,72.0,134.0,113.0
319,72.0,134.0,114.0
320,73.0,134.0,114.0
321,74.0,134.0,114.0
322,74.0,135.0,114.0
323,74.0,136.0,114.0
324,74.0,137.0,114.0
325,74.0,138.0,114.0
326,74.0,139.0,114.0
327,74.0,140.0,114.0
328,75.0,140.0,114.0
329,76.0,140.0,114.0
330,76.0,141.0,114.0
331,76.0,142.0,114.0
332,76.0,143.0,114.0
333,76.0,144.0,114.0
334,76.0,144.0,115.0
335,76.0,144.0,116.0
336,77.0,144.0,116.0
337,78.0,144.0,116.0
338,78.0,144.0,117.0
339,78.0,144.0,118.0
340,78.0,144.0,119.0
341,78.0,144.0,120.0
342,78.0,145.0,120.0
343,78.0,146.0,120.0
344,78.0,146.0,121.0
345,78.0,146.0,122.0
346,78.0,146.0,123.0
347,78.0,146.0,124.0
348,78.0,147.0,124.0
349,78.0,148.0,124.0
350,78.0,148.0,125.0
351,78.0,148.0,126.0
352,78.0,149.0,126.0
353,78.0,150.0,126.0
354,78.0,150.0,127.0
355,78.0,150.0,128.0
356,79.0,150.0,128.0
357,80.0,150.0,128.0
358,80.0,151.0,128.0
359,80.0,152.0,128.0
360,80.0,152.0,129.0
361,80.0,152.0,130.0
362,80.0,153.0,130.0
363,80.0,154.0,130.0
364,80.0,155.0,130.0
365,80.0,156.0,130.0
366,80.0,156.0,131.0
367,80.0,156.0,132.0
368,80.0,157.0,132.0
369,80.0,158.0,132.0
370,81.0,158.0,132.0
371,82.0,158.0,132.0
372,82.0,158.0,133.0
373,82.0,158.0,134.0
374,82.0,159.0,134.0
375,82.0,160.0,134.0
376,82.0,160.0,135.0
377,82.0,160.0,136.0
378,83.0,160.0,136.0
379,84.0,160.0,136.0
380,84.0,161.0,136.0
381,84.0,162.0,136.0
382,84.0,163.0,136.0
383,84.0,164.0,136.0
384,85.0,164.0,136.0
385,86.0,164.0,136.0
386,86.0,164.0,137.0
387,86.0,164.0,138.0
388,86.0,165.0,138.0
389,86.0,166.0,138.0
390,86.0,166.0,139.0
391,86.0,166.0,140.0
392,86.0,167.0,140.0
393,86.0,168.0,140.0
394,86.0,169.0,140.0
395,86.0,170.0,140.0
396,87.0,170.0,140.0
397,88.0,170.0,140.0
398,88.0,170.0,141.0
399,88.0,170.0,142.0
400,89.0,170.0,142.0
401,90.0,170.0,142.0
402,90.0,170.0,143.0
403,90.0,170.0,144.0
404,90.0,171.0,144.0
405,90.0,172.0,144.0
406,90.0,172.0,145.0
407,90.0,172.0,146.0
408,90.0,172.0,147.0
409,90.0,172.0,148.0
410,90.0,173.0,148.0
411,90.0,174.0,148.0
412,91.0,174.0,148.0
413,92.0,174.0,148.0
414,93.0,174.0,148.0
415,94.0,174.0,148.0
416,94.0,175.0,148.0
417,94.0,176.0,148.0
418,94.0,176.0,149.0
419,94.0,176.0,150.0
420,94.0,177.0,150.0
421,94.0,178.0,150.0
422,95.0,178.0,150.0
423,96.0,178.0,150.0
424,96.0,178.0,151.0
425,96.0,178.0,152.0
426,96.0,178.0,153.0
427,96.0,178.0,154.0
428,96.0,179.0,154.0
429,96.0,180.0,154.0
430,97.0,180.0,154.0
431,98.0,180.0,154.0
432,98.0,180.0,155.0
433,98.0,180.0,156.0
434,99.0,180.0,156.0
435,100.0,180.0,156.0
436,100.0,181.0,156.0
437,100.0,182.0,156.0
438,101.0,182.0,156.0
439,102.0,182.0,156.0
440,102.0,182.0,157.0
441,102.0,182.0,158.0
442,103.0,182.0,158.0
443,104.0,182.0,158.0
444,104.0,182.0,159.0
