,inaction,disengage,engage
0,50.0,0.0,10.0
1,50.0,60.0,930.0
2,70.0,250.0,500.0
3,100.0,480.0,480.0
4,110.0,540.0,360.0
5,110.0,510.0,270.0
6,170.0,500.0,290.0
7,240.0,560.0,350.0
8,250.0,490.0,300.0
9,260.0,460.0,300.0
10,260.0,420.0,270.0
