,inaction,disengange,engange
199,26.0,64.0,110.0
200,26.0,64.0,111.0
201,26.0,64.0,112.0
202,26.0,64.0,113.0
203,26.0,64.0,114.0
204,26.0,65.0,114.0
205,26.0,66.0,114.0
206,26.0,66.0,115.0
207,26.0,66.0,116.0
208,26.0,67.0,116.0
209,26.0,68.0,116.0
210,27.0,68.0,116.0
211,28.0,68.0,116.0
212,28.0,68.0,117.0
213,28.0,68.0,118.0
214,28.0,68.0,119.0
215,28.0,68.0,120.0
216,28.0,69.0,120.0
217,28.0,70.0,120.0
218,28.0,71.0,120.0
219,28.0,72.0,120.0
220,28.0,72.0,121.0
221,28.0,72.0,122.0
222,28.0,72.0,123.0
223,28.0,72.0,124.0
224,28.0,73.0,124.0
225,28.0,74.0,124.0
226,28.0,75.0,124.0
227,28.0,76.0,124.0
228,28.0,77.0,124.0
229,28.0,78.0,124.0
230,28.0,78.0,125.0
231,28.0,78.0,126.0
232,29.0,78.0,126.0
233,30.0,78.0,126.0
234,31.0,78.0,126.0
235,32.0,78.0,126.0
236,32.0,79.0,126.0
237,32.0,80.0,126.0
238,32.0,81.0,126.0
239,32.0,82.0,126.0
240,32.0,83.0,126.0
241,32.0,84.0,126.0
242,32.0,84.0,127.0
243,32.0,84.0,128.0
244,32.0,84.0,129.0
245,32.0,84.0,130.0
246,32.0,84.0,131.0
247,32.0,84.0,132.0
248,32.0,84.0,133.0
249,32.0,84.0,134.0
250,32.0,84.0,135.0
251,32.0,84.0,136.0
252,32.0,84.0,137.0
253,32.0,84.0,138.0
254,32.0,84.0,139.0
255,32.0,84.0,140.0
256,32.0,84.0,141.0
257,32.0,84.0,142.0
258,32.0,84.0,143.0
259,32.0,84.0,144.0
260,33.0,84.0,144.0
261,34.0,84.0,144.0
262,34.0,84.0,145.0
263,34.0,84.0,146.0
264,34.0,85.0,146.0
265,34.0,86.0,146.0
266,34.0,87.0,146.0
267,34.0,88.0,146.0
268,34.0,88.0,147.0
269,34.0,88.0,148.0
270,34.0,88.0,149.0
271,34.0,88.0,150.0
272,34.0,88.0,151.0
273,34.0,88.0,152.0
274,34.0,89.0,152.0
275,34.0,90.0,152.0
276,34.0,90.0,153.0
277,34.0,90.0,154.0
278,34.0,91.0,154.0
279,34.0,92.0,154.0
280,34.0,92.0,155.0
281,34.0,92.0,156.0
282,34.0,92.0,157.0
283,34.0,92.0,158.0
284,34.0,93.0,158.0
285,34.0,94.0,158.0
286,34.0,94.0,159.0
287,34.0,94.0,160.0
288,34.0,94.0,161.0
289,34.0,94.0,162.0
290,34.0,94.0,163.0
291,34.0,94.0,164.0
292,34.0,95.0,164.0
293,34.0,96.0,164.0
294,34.0,97.0,164.0
295,34.0,98.0,164.0
296,34.0,98.0,165.0
297,34.0,98.0,166.0
298,34.0,98.0,167.0
299,34.0,98.0,168.0
300,34.0,99.0,168.0
301,34.0,100.0,168.0
302,34.0,100.0,169.0
303,34.0,100.0,170.0
304,34.0,100.0,171.0
305,34.0,100.0,172.0
306,34.0,101.0,172.0
307,34.0,102.0,172.0
308,34.0,102.0,173.0
309,34.0,102.0,174.0
310,34.0,102.0,175.0
311,34.0,102.0,176.0
312,34.0,102.0,177.0
313,34.0,102.0,178.0
314,34.0,102.0,179.0
315,34.0,102.0,180.0
316,34.0,103.0,180.0
317,34.0,104.0,180.0
318,34.0,105.0,180.0
319,34.0,106.0,180.0
320,34.0,106.0,181.0
321,34.0,106.0,182.0
322,34.0,106.0,183.0
323,34.0,106.0,184.0
324,34.0,106.0,185.0
325,34.0,106.0,186.0
326,35.0,106.0,186.0
327,36.0,106.0,186.0
328,36.0,107.0,186.0
329,36.0,108.0,186.0
330,36.0,108.0,187.0
331,36.0,108.0,188.0
332,36.0,109.0,188.0
333,36.0,110.0,188.0
334,37.0,110.0,188.0
335,38.0,110.0,188.0
336,38.0,110.0,189.0
337,38.0,110.0,190.0
338,38.0,111.0,190.0
339,38.0,112.0,190.0
340,38.0,112.0,191.0
341,38.0,112.0,192.0
342,38.0,112.0,193.0
343,38.0,112.0,194.0
344,38.0,112.0,195.0
345,38.0,112.0,196.0
346,38.0,112.0,197.0
347,38.0,112.0,198.0
348,39.0,112.0,198.0
349,40.0,112.0,198.0
350,40.0,113.0,198.0
351,40.0,114.0,198.0
352,40.0,114.0,199.0
353,40.0,114.0,200.0
354,40.0,115.0,200.0
355,40.0,116.0,200.0
356,41.0,116.0,200.0
357,42.0,116.0,200.0
358,42.0,117.0,200.0
359,42.0,118.0,200.0
360,42.0,118.0,201.0
361,42.0,118.0,202.0
362,42.0,118.0,203.0
363,42.0,118.0,204.0
364,42.0,119.0,204.0
365,42.0,120.0,204.0
366,42.0,120.0,205.0
367,42.0,120.0,206.0
368,42.0,121.0,206.0
369,42.0,122.0,206.0
370,42.0,122.0,207.0
371,42.0,122.0,208.0
372,42.0,122.0,209.0
373,42.0,122.0,210.0
374,42.0,123.0,210.0
375,42.0,124.0,210.0
376,42.0,124.0,211.0
377,42.0,124.0,212.0
378,42.0,124.0,213.0
379,42.0,124.0,214.0
380,42.0,124.0,215.0
381,42.0,124.0,216.0
382,42.0,124.0,217.0
383,42.0,124.0,218.0
384,42.0,125.0,218.0
385,42.0,126.0,218.0
386,42.0,126.0,219.0
387,42.0,126.0,220.0
388,42.0,127.0,220.0
389,42.0,128.0,220.0
390,43.0,128.0,220.0
391,44.0,128.0,220.0
392,44.0,128.0,221.0
393,44.0,128.0,222.0
394,44.0,128.0,223.0
395,44.0,128.0,224.0
396,44.0,128.0,225.0
397,44.0,128.0,226.0
398,44.0,129.0,226.0
399,44.0,130.0,226.0
400,44.0,130.0,227.0
401,44.0,130.0,228.0
402,44.0,131.0,228.0
403,44.0,132.0,228.0
404,44.0,132.0,229.0
405,44.0,132.0,230.0
406,45.0,132.0,230.0
407,46.0,132.0,230.0
408,47.0,132.0,230.0
409,48.0,132.0,230.0
410,48.0,132.0,231.0
411,48.0,132.0,232.0
412,48.0,132.0,233.0
413,48.0,132.0,234.0
414,48.0,133.0,234.0
415,48.0,134.0,234.0
416,49.0,134.0,234.0
417,50.0,134.0,234.0
418,51.0,134.0,234.0
419,52.0,134.0,234.0
420,52.0,135.0,234.0
421,52.0,136.0,234.0
422,52.0,136.0,235.0
423,52.0,136.0,236.0
424,52.0,137.0,236.0
425,52.0,138.0,236.0
426,52.0,138.0,237.0
427,52.0,138.0,238.0
428,52.0,139.0,238.0
429,52.0,140.0,238.0
430,52.0,141.0,238.0
431,52.0,142.0,238.0
432,52.0,142.0,239.0
433,52.0,142.0,240.0
434,52.0,142.0,241.0
435,52.0,142.0,242.0
436,52.0,142.0,243.0
437,52.0,142.0,244.0
438,52.0,142.0,245.0
439,52.0,142.0,246.0
440,52.0,143.0,246.0
441,52.0,144.0,246.0
442,52.0,144.0,247.0
443,52.0,144.0,248.0
444,52.0,144.0,249.0
445,52.0,144.0,250.0
446,52.0,144.0,251.0
447,52.0,144.0,252.0
448,52.0,144.0,253.0
449,52.0,144.0,254.0
450,52.0,144.0,255.0
451,52.0,144.0,256.0
452,52.0,145.0,256.0
453,52.0,146.0,256.0
454,52.0,146.0,257.0
455,52.0,146.0,258.0
456,52.0,146.0,259.0
457,52.0,146.0,260.0
458,53.0,146.0,260.0
459,54.0,146.0,260.0
460,54.0,147.0,260.0
461,54.0,148.0,260.0
462,54.0,148.0,261.0
463,54.0,148.0,262.0
464,54.0,148.0,263.0
465,54.0,148.0,264.0
466,55.0,148.0,264.0
467,56.0,148.0,264.0
468,56.0,149.0,264.0
469,56.0,150.0,264.0
470,56.0,151.0,264.0
471,56.0,152.0,264.0
472,56.0,152.0,265.0
473,56.0,152.0,266.0
474,56.0,153.0,266.0
475,56.0,154.0,266.0
476,56.0,154.0,267.0
477,56.0,154.0,268.0
478,56.0,154.0,269.0
479,56.0,154.0,270.0
480,56.0,154.0,271.0
481,56.0,154.0,272.0
482,57.0,154.0,272.0
483,58.0,154.0,272.0
484,58.0,154.0,273.0
485,58.0,154.0,274.0
486,58.0,155.0,274.0
487,58.0,156.0,274.0
488,58.0,156.0,275.0
489,58.0,156.0,276.0
490,58.0,156.0,277.0
491,58.0,156.0,278.0
492,58.0,157.0,278.0
493,58.0,158.0,278.0
494,58.0,158.0,279.0
495,58.0,158.0,280.0
496,58.0,158.0,281.0
497,58.0,158.0,282.0
498,58.0,158.0,283.0
499,58.0,158.0,284.0
500,58.0,159.0,284.0
501,58.0,160.0,284.0
502,58.0,160.0,285.0
503,58.0,160.0,286.0
504,58.0,160.0,287.0
505,58.0,160.0,288.0
506,58.0,161.0,288.0
507,58.0,162.0,288.0
508,58.0,163.0,288.0
509,58.0,164.0,288.0
510,58.0,164.0,289.0
511,58.0,164.0,290.0
512,58.0,164.0,291.0
513,58.0,164.0,292.0
514,58.0,164.0,293.0
515,58.0,164.0,294.0
516,58.0,165.0,294.0
517,58.0,166.0,294.0
518,59.0,166.0,294.0
519,60.0,166.0,294.0
520,60.0,167.0,294.0
521,60.0,168.0,294.0
522,60.0,169.0,294.0
523,60.0,170.0,294.0
524,60.0,170.0,295.0
525,60.0,170.0,296.0
526,60.0,171.0,296.0
527,60.0,172.0,296.0
528,60.0,172.0,297.0
529,60.0,172.0,298.0
530,60.0,173.0,298.0
531,60.0,174.0,298.0
532,60.0,174.0,299.0
533,60.0,174.0,300.0
534,60.0,175.0,300.0
535,60.0,176.0,300.0
536,60.0,177.0,300.0
537,60.0,178.0,300.0
538,60.0,179.0,300.0
539,60.0,180.0,300.0
540,60.0,181.0,300.0
541,60.0,182.0,300.0
542,60.0,182.0,301.0
543,60.0,182.0,302.0
544,61.0,182.0,302.0
545,62.0,182.0,302.0
546,62.0,183.0,302.0
547,62.0,184.0,302.0
548,62.0,184.0,303.0
549,62.0,184.0,304.0
550,62.0,185.0,304.0
551,62.0,186.0,304.0
552,62.0,187.0,304.0
553,62.0,188.0,304.0
554,62.0,189.0,304.0
555,62.0,190.0,304.0
556,62.0,190.0,305.0
557,62.0,190.0,306.0
558,62.0,191.0,306.0
559,62.0,192.0,306.0
560,62.0,192.0,307.0
561,62.0,192.0,308.0
562,62.0,192.0,309.0
563,62.0,192.0,310.0
564,62.0,192.0,311.0
565,62.0,192.0,312.0
566,63.0,192.0,312.0
567,64.0,192.0,312.0
568,64.0,192.0,313.0
569,64.0,192.0,314.0
570,64.0,193.0,314.0
571,64.0,194.0,314.0
572,64.0,194.0,315.0
573,64.0,194.0,316.0
574,64.0,194.0,317.0
575,64.0,194.0,318.0
576,64.0,194.0,319.0
577,64.0,194.0,320.0
578,65.0,194.0,320.0
579,66.0,194.0,320.0
580,66.0,194.0,321.0
581,66.0,194.0,322.0
582,66.0,195.0,322.0
583,66.0,196.0,322.0
584,66.0,197.0,322.0
585,66.0,198.0,322.0
586,66.0,198.0,323.0
587,66.0,198.0,324.0
588,66.0,198.0,325.0
589,66.0,198.0,326.0
590,66.0,198.0,327.0
591,66.0,198.0,328.0
592,66.0,198.0,329.0
593,66.0,198.0,330.0
594,66.0,198.0,331.0
595,66.0,198.0,332.0
596,66.0,198.0,333.0
597,66.0,198.0,334.0
598,66.0,198.0,335.0
599,66.0,198.0,336.0
600,66.0,198.0,337.0
601,66.0,198.0,338.0
602,66.0,199.0,338.0
603,66.0,200.0,338.0
604,66.0,201.0,338.0
605,66.0,202.0,338.0
606,66.0,202.0,339.0
607,66.0,202.0,340.0
608,66.0,202.0,341.0
609,66.0,202.0,342.0
610,66.0,202.0,343.0
611,66.0,202.0,344.0
612,66.0,202.0,345.0
613,66.0,202.0,346.0
614,66.0,203.0,346.0
615,66.0,204.0,346.0
616,66.0,205.0,346.0
617,66.0,206.0,346.0
618,66.0,207.0,346.0
619,66.0,208.0,346.0
620,66.0,209.0,346.0
621,66.0,210.0,346.0
622,66.0,210.0,347.0
623,66.0,210.0,348.0
624,66.0,210.0,349.0
625,66.0,210.0,350.0
626,66.0,210.0,351.0
627,66.0,210.0,352.0
628,66.0,211.0,352.0
629,66.0,212.0,352.0
630,66.0,212.0,353.0
631,66.0,212.0,354.0
632,67.0,212.0,354.0
633,68.0,212.0,354.0
634,68.0,212.0,355.0
635,68.0,212.0,356.0
636,68.0,213.0,356.0
637,68.0,214.0,356.0
638,68.0,214.0,357.0
639,68.0,214.0,358.0
640,68.0,215.0,358.0
641,68.0,216.0,358.0
642,68.0,217.0,358.0
643,68.0,218.0,358.0
644,68.0,218.0,359.0
645,68.0,218.0,360.0
646,68.0,219.0,360.0
647,68.0,220.0,360.0
648,68.0,220.0,361.0
649,68.0,220.0,362.0
650,68.0,220.0,363.0
651,68.0,220.0,364.0
652,68.0,221.0,364.0
653,68.0,222.0,364.0
654,68.0,222.0,365.0
655,68.0,222.0,366.0
656,68.0,223.0,366.0
657,68.0,224.0,366.0
658,68.0,224.0,367.0
659,68.0,224.0,368.0
660,69.0,224.0,368.0
661,70.0,224.0,368.0
662,70.0,225.0,368.0
663,70.0,226.0,368.0
664,70.0,226.0,369.0
665,70.0,226.0,370.0
666,70.0,226.0,371.0
667,70.0,226.0,372.0
668,70.0,226.0,373.0
669,70.0,226.0,374.0
670,71.0,226.0,374.0
671,72.0,226.0,374.0
672,72.0,226.0,375.0
673,72.0,226.0,376.0
674,72.0,227.0,376.0
675,72.0,228.0,376.0
676,72.0,228.0,377.0
677,72.0,228.0,378.0
678,72.0,228.0,379.0
679,72.0,228.0,380.0
680,72.0,229.0,380.0
681,72.0,230.0,380.0
682,72.0,230.0,381.0
683,72.0,230.0,382.0
684,72.0,230.0,383.0
685,72.0,230.0,384.0
686,72.0,230.0,385.0
687,72.0,230.0,386.0
688,72.0,231.0,386.0
689,72.0,232.0,386.0
690,72.0,232.0,387.0
691,72.0,232.0,388.0
692,72.0,232.0,389.0
693,72.0,232.0,390.0
694,72.0,232.0,391.0
695,72.0,232.0,392.0
696,72.0,233.0,392.0
697,72.0,234.0,392.0
698,72.0,234.0,393.0
699,72.0,234.0,394.0
