,inaction,disengange,engange
0,0.0,0.0,1.0
1,0.0,0.0,2.0
2,1.0,0.0,2.0
3,2.0,0.0,2.0
4,2.0,1.0,2.0
5,2.0,2.0,2.0
6,2.0,2.0,3.0
7,2.0,2.0,4.0
8,2.0,3.0,4.0
9,2.0,4.0,4.0
10,2.0,5.0,4.0
11,2.0,6.0,4.0
12,3.0,6.0,4.0
13,4.0,6.0,4.0
14,4.0,6.0,5.0
15,4.0,6.0,6.0
16,4.0,7.0,6.0
17,4.0,8.0,6.0
18,4.0,9.0,6.0
19,4.0,10.0,6.0
20,4.0,11.0,6.0
21,4.0,12.0,6.0
22,4.0,13.0,6.0
23,4.0,14.0,6.0
24,4.0,14.0,7.0
25,4.0,14.0,8.0
26,4.0,14.0,9.0
27,4.0,14.0,10.0
28,4.0,15.0,10.0
29,4.0,16.0,10.0
30,4.0,16.0,11.0
31,4.0,16.0,12.0
32,4.0,17.0,12.0
33,4.0,18.0,12.0
34,4.0,18.0,13.0
35,4.0,18.0,14.0
36,4.0,19.0,14.0
37,4.0,20.0,14.0
38,4.0,21.0,14.0
39,4.0,22.0,14.0
40,4.0,23.0,14.0
41,4.0,24.0,14.0
42,4.0,24.0,15.0
43,4.0,24.0,16.0
44,4.0,24.0,17.0
45,4.0,24.0,18.0
46,4.0,24.0,19.0
47,4.0,24.0,20.0
48,4.0,25.0,20.0
49,4.0,26.0,20.0
50,4.0,27.0,20.0
51,4.0,28.0,20.0
52,4.0,28.0,21.0
53,4.0,28.0,22.0
54,5.0,28.0,22.0
55,6.0,28.0,22.0
56,6.0,28.0,23.0
57,6.0,28.0,24.0
58,6.0,29.0,24.0
59,6.0,30.0,24.0
60,6.0,31.0,24.0
61,6.0,32.0,24.0
62,6.0,32.0,25.0
63,6.0,32.0,26.0
64,7.0,32.0,26.0
65,8.0,32.0,26.0
66,8.0,33.0,26.0
67,8.0,34.0,26.0
68,8.0,34.0,27.0
69,8.0,34.0,28.0
70,8.0,35.0,28.0
71,8.0,36.0,28.0
72,8.0,36.0,29.0
73,8.0,36.0,30.0
74,8.0,37.0,30.0
75,8.0,38.0,30.0
76,8.0,39.0,30.0
77,8.0,40.0,30.0
78,8.0,41.0,30.0
79,8.0,42.0,30.0
80,8.0,43.0,30.0
81,8.0,44.0,30.0
82,8.0,45.0,30.0
83,8.0,46.0,30.0
84,8.0,46.0,31.0
85,8.0,46.0,32.0
86,9.0,46.0,32.0
87,10.0,46.0,32.0
88,10.0,46.0,33.0
89,10.0,46.0,34.0
90,10.0,47.0,34.0
91,10.0,48.0,34.0
92,10.0,48.0,35.0
93,10.0,48.0,36.0
94,10.0,48.0,37.0
95,10.0,48.0,38.0
96,10.0,49.0,38.0
97,10.0,50.0,38.0
98,10.0,51.0,38.0
99,10.0,52.0,38.0
100,10.0,53.0,38.0
101,10.0,54.0,38.0
102,11.0,54.0,38.0
103,12.0,54.0,38.0
104,12.0,54.0,39.0
105,12.0,54.0,40.0
106,12.0,54.0,41.0
107,12.0,54.0,42.0
108,12.0,54.0,43.0
109,12.0,54.0,44.0
110,12.0,55.0,44.0
